branch_id,branch_name,province,region,opened_date
B001,Khon Kaen Branch,Khon Kaen,Northeast,2006-12-14
B002,Bangkok Branch,Bangkok,Central,2018-03-31
B003,Udon Thani Branch,Udon Thani,Northeast,2014-06-19
B004,Surat Thani Branch,Surat Thani,South,2005-09-18
B005,Chiang Rai Branch,Chiang Rai,North,2005-09-02
B006,Phuket Branch,Phuket,South,2007-02-07
B007,Samut Prakan Branch,Samut Prakan,Central,2009-11-27
B008,Chiang Mai Branch,Chiang Mai,North,2010-03-21
B009,Pathum Thani Branch,Pathum Thani,Central,2016-05-02
B010,Lampang Branch,Lampang,North,2018-07-03
