claim_id,policy_id,loss_date,report_date,settle_date,loss_type,claim_amount_thb,status,adjuster_name,fraud_flag
CL000001,P002187,2023-12-25,2024-01-01,2024-03-21,fire,615630,paid,Beam Phromsiri,false
CL000002,P001465,2024-09-26,2024-10-05,2024-11-09,collision,91699,paid,Bua Phongphan,false
CL000003,P006497,2024-11-18,2024-11-27,2025-01-20,fire,446222,paid,Apinya Phromsiri,false
CL000004,P006248,2023-05-16,2023-05-29,2023-06-13,storm,2772253,paid,Chai Phromsiri,false
CL000005,P005298,2023-11-13,2023-11-27,2023-12-26,storm,4898770,paid,Bank Phongphan,false
CL000006,P002417,2023-12-07,2023-12-11,2024-02-14,water_damage,491036,paid,Praew Rattanapan,false
CL000007,P000324,2026-04-21,2026-05-04,2026-06-14,collision,252640,paid,Nan Phutthichai,false
CL000008,P006579,2025-02-28,2025-03-14,2025-06-07,flood,4409220,paid,Somchai Rattanapan,false
CL000009,P001127,2025-09-03,2025-09-10,,flood,1203973,open,Ploy Chaisawat,false
CL000010,P005657,2024-06-07,2024-06-19,,fire,416915,open,Mild Sangthong,false
CL000011,P008554,2024-08-10,2024-08-11,2024-09-25,fire,744230,paid,Eak Inthanon,false
CL000012,P007269,2026-04-11,2026-04-19,2026-05-26,third_party_liability,560131,paid,Suda Sangthong,false
CL000013,P009510,2024-03-09,2024-03-19,,fire,776444,pending,Suda Srisuk,false
CL000014,P001725,2022-12-08,2022-12-17,2023-02-17,storm,770930,paid,Boss Chaisawat,false
CL000015,P008776,2026-02-24,2026-03-09,2026-05-19,collision,149115,paid,Beam Suwanphon,false
CL000016,P006492,2024-09-02,2024-09-02,,third_party_liability,250035,open,Eak Saetang,false
CL000017,P009918,2023-03-01,2023-03-12,2023-03-29,storm,1631367,denied,Tawan Phongphan,false
CL000018,P007157,2024-01-30,2024-01-30,,fire,130562,pending,Mild Rattanapan,false
CL000019,P002433,2024-11-12,2024-11-14,2024-12-26,theft,49401,paid,Tawan Phutthichai,false
CL000020,P004342,2025-09-12,2025-09-25,2025-11-09,collision,160999,denied,Nan Thongdee,false
CL000021,P004120,2025-11-10,2025-11-14,,water_damage,4685049,pending,Nok Limthongkul,false
CL000022,P005787,2026-03-22,2026-03-22,2026-05-18,theft,15996,paid,Malee Chaisawat,false
CL000023,P007654,2025-09-05,2025-09-05,2025-11-05,collision,126311,paid,Bank Suwanphon,false
CL000024,P007989,2022-11-18,2022-11-29,2023-01-16,fire,987841,paid,Chai Chaisawat,false
CL000025,P001635,2025-02-19,2025-03-03,2025-04-02,water_damage,2146458,paid,Mai Phongphan,false
CL000026,P006528,2024-02-12,2024-02-14,2024-03-25,collision,17068,paid,Beam Chaisawat,false
CL000027,P001016,2024-06-29,2024-07-13,2024-08-21,storm,5619704,paid,Malee Watcharaphon,false
CL000028,P000833,2026-02-13,2026-02-19,2026-05-17,flood,24571,paid,Kanya Phongphan,true
CL000029,P009184,2025-02-20,2025-03-04,2025-04-27,burglary,368897,paid,Pim Sangthong,false
CL000030,P004226,2023-06-08,2023-06-10,,fire,307615,pending,Somchai Phutthichai,false
CL000031,P003648,2023-07-04,2023-07-08,2023-09-12,burglary,286853,paid,Mint Kittikun,false
CL000032,P008498,2024-08-11,2024-08-20,2024-11-17,third_party_liability,122918,denied,Chai Phutthichai,false
CL000033,P001627,2023-05-10,2023-05-22,,theft,211282,open,Earth Chaiyaporn,false
CL000034,P008392,2024-04-13,2024-04-25,2024-06-26,storm,1503627,paid,Bua Srisuk,false
CL000035,P006757,2023-08-06,2023-08-15,2023-09-08,water_damage,596380,denied,Pim Chaisawat,false
CL000036,P008012,2023-08-14,2023-08-25,2023-09-15,collision,713321,paid,Toon Watcharaphon,true
CL000037,P004341,2023-10-17,2023-10-23,2023-11-25,third_party_liability,437345,paid,Toon Phutthichai,false
CL000038,P008939,2024-09-04,2024-09-06,2024-09-22,third_party_liability,23976,paid,Tawan Phongphan,false
CL000039,P005297,2024-07-28,2024-08-02,2024-10-11,collision,260842,paid,Boss Chaiyaporn,false
CL000040,P008625,2026-04-07,2026-04-19,2026-06-17,collision,86334,paid,Wichai Chaisawat,false
CL000041,P002810,2023-07-29,2023-07-30,2023-09-27,theft,702405,paid,Pim Sukhumvit,false
CL000042,P004293,2024-08-07,2024-08-17,2024-11-11,collision,270512,paid,Beam Wongchai,false
CL000043,P001385,2025-12-17,2025-12-21,,theft,350372,open,Eak Boonmee,false
CL000044,P007972,2024-02-09,2024-02-20,2024-03-30,collision,151091,paid,Ploy Phutthichai,false
CL000045,P003512,2026-01-28,2026-02-02,2026-04-07,fire,609549,denied,Mint Charoensuk,false
CL000046,P002864,2025-06-09,2025-06-15,,storm,343632,pending,Anong Charoensuk,false
CL000047,P001309,2023-12-28,2023-12-31,,fire,4378033,pending,Nok Chaiyaporn,false
CL000048,P000773,2024-07-03,2024-07-03,2024-08-09,fire,129444,paid,Pim Boonmee,false
CL000049,P003375,2023-02-24,2023-03-05,,third_party_liability,245556,open,Malee Wongchai,false
CL000050,P003013,2026-04-17,2026-04-22,2026-06-03,burglary,1797924,paid,View Inthanon,false
CL000051,P009660,2026-05-13,2026-05-21,,third_party_liability,172510,pending,Tawan Kanchanaburi,false
CL000052,P004073,2023-09-05,2023-09-15,2023-11-05,storm,2038075,paid,Fern Boonmee,false
CL000053,P009354,2023-06-18,2023-06-22,,fire,278466,open,Malee Kittikun,true
CL000054,P002734,2025-04-08,2025-04-10,2025-05-17,collision,306484,paid,Bank Suwanphon,false
CL000055,P004116,2024-06-20,2024-06-25,2024-08-19,flood,146887,paid,Toon Kanchanaburi,false
CL000056,P006873,2024-10-02,2024-10-04,,flood,1678496,pending,Earth Watcharaphon,false
CL000057,P004235,2024-11-22,2024-12-01,2024-12-17,fire,156349,denied,Beam Thongdee,false
CL000058,P003261,2023-07-09,2023-07-20,,flood,118567,open,Bua Sukhumvit,false
CL000059,P004668,2024-06-16,2024-06-25,2024-08-12,flood,230792,paid,Apinya Chaiyaporn,false
CL000060,P006865,2025-08-13,2025-08-13,2025-11-02,fire,1940159,denied,Mai Phromsiri,false
CL000061,P000189,2024-02-07,2024-02-17,,water_damage,1531295,pending,Somchai Rattanapan,false
CL000062,P007530,2022-06-13,2022-06-16,2022-08-10,flood,160910,paid,Praew Thongdee,false
