policy_id,customer_id,agent_id,product_line,product_subtype,effective_date,expiry_date,sum_insured_thb,annual_premium_thb,payment_frequency,status
P000001,C02845,A0023,motor,motor_voluntary,2023-09-27,2024-09-26,1145963,43486,monthly,active
P000002,C01043,A0016,motor,motor_voluntary,2023-05-20,2024-05-19,2271951,52392,monthly,lapsed
P000003,C01544,A0044,motor,motor_voluntary,2022-04-26,2023-04-26,885977,18290,quarterly,active
P000004,C00007,A0045,motor,motor_compulsory,2024-01-29,2025-01-28,1804321,82096,annual,active
P000005,C01249,A0033,property,property_fire,2025-06-25,2026-06-25,10727321,60607,annual,lapsed
P000006,C01533,A0040,motor,motor_compulsory,2023-02-12,2024-02-12,249256,7011,annual,active
P000007,C01055,A0040,motor,motor_compulsory,2023-11-30,2024-11-29,499353,19156,annual,active
P000008,C01697,A0015,property,property_allrisk,2023-09-05,2024-09-04,15332395,133575,quarterly,active
P000009,C00072,A0027,motor,motor_compulsory,2023-01-03,2024-01-03,2188793,64716,monthly,active
P000010,C00646,A0010,property,property_allrisk,2023-01-13,2024-01-13,19211230,72108,annual,active
P000011,C01294,A0049,motor,motor_voluntary,2022-06-05,2023-06-05,1552999,74111,annual,active
P000012,C02646,A0027,property,property_allrisk,2025-08-06,2026-08-06,8804471,60953,monthly,active
P000013,C02717,A0017,property,property_flood,2023-01-22,2024-01-22,10954223,98333,annual,active
P000014,C00166,A0003,motor,motor_compulsory,2023-07-06,2024-07-05,607250,15688,quarterly,active
P000015,C00709,A0005,motor,motor_voluntary,2022-06-05,2023-06-05,858648,18827,quarterly,active
P000016,C02195,A0032,property,property_flood,2023-03-22,2024-03-21,4779998,44937,quarterly,active
P000017,C02201,A0004,motor,motor_voluntary,2023-08-13,2024-08-12,636128,27294,quarterly,active
P000018,C02059,A0032,motor,motor_compulsory,2023-02-02,2024-02-02,760213,34297,quarterly,active
P000019,C01589,A0041,motor,motor_compulsory,2025-12-02,2026-12-02,1225725,55105,quarterly,active
P000020,C00892,A0019,motor,motor_compulsory,2023-09-01,2024-08-31,1503557,65032,annual,active
P000021,C02827,A0005,motor,motor_voluntary,2022-07-07,2023-07-07,2029214,89812,monthly,active
P000022,C02328,A0050,motor,motor_compulsory,2023-05-13,2024-05-12,2430939,64441,annual,lapsed
P000023,C02497,A0039,property,property_fire,2024-02-18,2025-02-17,16806131,180906,annual,active
P000024,C00899,A0028,motor,motor_voluntary,2023-07-17,2024-07-16,874794,30976,quarterly,active
P000025,C02209,A0022,motor,motor_voluntary,2024-12-13,2025-12-13,208937,4569,monthly,active
P000026,C01001,A0034,motor,motor_voluntary,2023-04-06,2024-04-05,604168,12153,monthly,active
P000027,C02523,A0011,motor,motor_voluntary,2023-11-28,2024-11-27,1690144,61850,annual,lapsed
P000028,C01874,A0049,property,property_flood,2025-03-26,2026-03-26,3095399,10947,quarterly,active
P000029,C01579,A0044,property,property_fire,2024-02-28,2025-02-27,6949549,73627,monthly,active
P000030,C02586,A0035,motor,motor_compulsory,2023-06-20,2024-06-19,1909216,89740,quarterly,active
P000031,C00004,A0005,motor,motor_compulsory,2026-02-04,2027-02-04,639373,17541,monthly,active
P000032,C02995,A0015,motor,motor_voluntary,2023-07-08,2024-07-07,1043579,49050,quarterly,lapsed
P000033,C02869,A0002,property,property_allrisk,2024-10-28,2025-10-28,3124018,24227,quarterly,active
P000034,C01517,A0038,property,property_allrisk,2023-03-30,2024-03-29,17542614,113514,monthly,active
P000035,C01822,A0027,motor,motor_voluntary,2023-06-03,2024-06-02,1317366,36123,monthly,active
P000036,C01012,A0035,motor,motor_voluntary,2025-05-08,2026-05-08,1677834,82378,annual,active
P000037,C00618,A0045,motor,motor_compulsory,2023-02-04,2024-02-04,947404,39821,quarterly,lapsed
P000038,C00386,A0009,motor,motor_compulsory,2023-12-16,2024-12-15,2439198,76918,quarterly,active
P000039,C01118,A0043,motor,motor_compulsory,2023-11-29,2024-11-28,2327475,87967,quarterly,active
P000040,C01823,A0018,motor,motor_voluntary,2023-10-07,2024-10-06,2063687,86974,annual,active
P000041,C01624,A0032,motor,motor_compulsory,2023-03-25,2024-03-24,1974406,74450,monthly,active
P000042,C02339,A0019,motor,motor_compulsory,2022-12-27,2023-12-27,1487624,60367,quarterly,active
P000043,C01878,A0034,motor,motor_voluntary,2023-08-19,2024-08-18,2314215,105087,annual,active
P000044,C02394,A0035,motor,motor_compulsory,2023-08-07,2024-08-06,2449970,108418,monthly,active
P000045,C01616,A0001,motor,motor_compulsory,2023-12-08,2024-12-07,241424,10567,quarterly,active
P000046,C01640,A0019,property,property_fire,2023-10-13,2024-10-12,2053576,9192,annual,active
P000047,C02131,A0007,motor,motor_voluntary,2024-05-03,2025-05-03,275825,12466,monthly,active
P000048,C00971,A0040,motor,motor_voluntary,2024-09-16,2025-09-16,372591,11139,annual,active
P000049,C00612,A0029,property,property_allrisk,2025-05-01,2026-05-01,4556310,36359,quarterly,active
P000050,C01652,A0007,property,property_fire,2024-12-07,2025-12-07,1021202,5019,annual,active
P000051,C01587,A0019,property,property_flood,2023-02-05,2024-02-05,12941719,113957,monthly,cancelled
P000052,C02059,A0049,motor,motor_voluntary,2024-08-25,2025-08-25,2038258,100613,quarterly,active
P000053,C00144,A0002,property,property_fire,2023-11-28,2024-11-27,4969997,38653,monthly,active
P000054,C01242,A0017,motor,motor_voluntary,2022-10-05,2023-10-05,1994016,62155,monthly,lapsed
P000055,C01642,A0024,motor,motor_voluntary,2024-12-03,2025-12-03,1850016,63859,monthly,active
P000056,C01787,A0031,motor,motor_voluntary,2022-12-19,2023-12-19,1784733,43284,monthly,active
P000057,C00883,A0041,motor,motor_compulsory,2022-01-09,2023-01-09,947678,24191,annual,active
P000058,C02217,A0019,motor,motor_compulsory,2024-09-21,2025-09-21,323310,8974,annual,active
P000059,C00950,A0035,property,property_allrisk,2024-05-18,2025-05-18,8477180,71267,monthly,lapsed
P000060,C00417,A0011,motor,motor_compulsory,2024-08-11,2025-08-11,543243,26664,annual,active
P000061,C00375,A0005,property,property_flood,2024-05-25,2025-05-25,2891013,8759,annual,active
P000062,C01109,A0035,property,property_fire,2025-08-06,2026-08-06,5804537,50498,annual,active
P000063,C02394,A0043,motor,motor_voluntary,2024-10-19,2025-10-19,1653347,60629,quarterly,active
P000064,C01343,A0032,motor,motor_compulsory,2022-04-29,2023-04-29,786963,32567,quarterly,cancelled
P000065,C01488,A0020,motor,motor_compulsory,2023-04-17,2024-04-16,479173,10370,annual,active
P000066,C01461,A0050,motor,motor_compulsory,2023-01-10,2024-01-10,2104667,61493,monthly,active
P000067,C02340,A0030,motor,motor_compulsory,2023-08-18,2024-08-17,670328,30163,monthly,active
P000068,C00800,A0008,motor,motor_voluntary,2025-09-27,2026-09-27,353708,10611,annual,active
P000069,C02462,A0012,motor,motor_voluntary,2024-05-05,2025-05-05,487929,19835,quarterly,active
P000070,C01445,A0012,property,property_flood,2023-12-25,2024-12-24,16919372,127813,quarterly,active
P000071,C00257,A0021,motor,motor_voluntary,2026-02-10,2027-02-10,240444,6866,monthly,active
P000072,C01977,A0033,motor,motor_compulsory,2024-03-11,2025-03-11,1913766,57032,monthly,active
P000073,C02034,A0006,motor,motor_voluntary,2022-10-13,2023-10-13,1694180,55477,annual,lapsed
P000074,C01272,A0015,motor,motor_compulsory,2025-03-25,2026-03-25,881932,33314,monthly,active
P000075,C02407,A0037,property,property_fire,2022-12-16,2023-12-16,9621896,105820,annual,active
P000076,C00934,A0037,property,property_flood,2025-12-26,2026-12-26,2239205,8978,monthly,active
P000077,C02139,A0019,motor,motor_voluntary,2023-06-24,2024-06-23,1627659,40547,quarterly,active
P000078,C02745,A0040,motor,motor_compulsory,2025-11-19,2026-11-19,1835201,51950,annual,active
P000079,C01346,A0041,motor,motor_compulsory,2025-01-29,2026-01-29,2037274,51178,annual,lapsed
P000080,C02392,A0030,motor,motor_voluntary,2022-05-27,2023-05-27,2373961,100316,annual,active
P000081,C01851,A0006,motor,motor_voluntary,2023-09-16,2024-09-15,777383,22526,quarterly,lapsed
P000082,C01090,A0014,motor,motor_compulsory,2024-06-21,2025-06-21,2419293,70104,quarterly,active
P000083,C02615,A0002,motor,motor_voluntary,2022-07-06,2023-07-06,2393924,119330,monthly,active
